epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,8646.7,0.76944,1.11318,0.46351,0.84966,0,0.76463,0.74535,0.7899,0.56115,0.74654,0.70804,0.74549,0.42519,0.90259,1.4206,0.64911,0.90351,0,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
76,8760.73,0.76736,1.1173,0.45837,0.84996,0,0.76934,0.73581,0.78964,0.56218,0.75841,0.70189,0.75382,0.42463,0.90631,1.44211,0.65055,0.9085,0,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
77,8874.77,0.76595,1.12028,0.45953,0.84887,0,0.76081,0.74299,0.79282,0.56486,0.75127,0.69184,0.74586,0.42546,0.90079,1.44373,0.64923,0.90971,0,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
78,8989.15,0.76268,1.11818,0.4559,0.84989,0,0.76236,0.74206,0.78913,0.55882,0.75096,0.69994,0.74754,0.42333,0.90768,1.45083,0.65627,0.91549,0,0.00309487,0.00103162,0.00309487,0.00103162,0.00309487,0.00103162,0.00309487,0.00103162
79,9103.06,0.76099,1.09577,0.45604,0.84699,0,0.78649,0.73107,0.79457,0.56302,0.76065,0.69782,0.74679,0.42354,0.89447,1.47356,0.64842,0.91452,0,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
80,9217.74,0.76562,1.12463,0.45544,0.84902,0,0.76106,0.73831,0.78907,0.56103,0.73813,0.70065,0.7406,0.42199,0.90204,1.44607,0.6517,0.90408,0,0.00304536,0.00101512,0.00304536,0.00101512,0.00304536,0.00101512,0.00304536,0.00101512
81,9331.65,0.76057,1.09473,0.45003,0.8499,0,0.76046,0.74678,0.78798,0.56076,0.73438,0.70836,0.74292,0.42452,0.90677,1.46514,0.65039,0.90818,0,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
82,9445.24,0.75544,1.10641,0.45007,0.84835,0,0.76434,0.7394,0.78936,0.56278,0.74417,0.70181,0.74423,0.42553,0.89733,1.43997,0.65329,0.90773,0,0.00299585,0.000998616,0.00299585,0.000998616,0.00299585,0.000998616,0.00299585,0.000998616
83,9559.24,0.75025,1.09697,0.44618,0.84446,0,0.76816,0.73674,0.7823,0.55725,0.74834,0.70416,0.74066,0.42446,0.89941,1.46456,0.66462,0.91309,0,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
84,9673.61,0.75481,1.10018,0.4448,0.84544,0,0.76135,0.74066,0.79241,0.56339,0.73877,0.71288,0.74807,0.42911,0.90331,1.43478,0.6475,0.91044,0,0.00294634,0.000982113,0.00294634,0.000982113,0.00294634,0.000982113,0.00294634,0.000982113
85,9787.96,0.76159,1.10199,0.44859,0.84733,0,0.75973,0.73398,0.78285,0.55241,0.73697,0.69618,0.73435,0.42025,0.90782,1.4471,0.67545,0.92006,0,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
86,9902.09,0.75121,1.10144,0.44516,0.84493,0,0.76139,0.74171,0.78488,0.55704,0.73239,0.71147,0.74041,0.42345,0.90455,1.47443,0.66732,0.91511,0,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
87,10016,0.74049,1.08796,0.43909,0.84206,0,0.7631,0.74028,0.78256,0.55715,0.74807,0.71023,0.74212,0.42497,0.90878,1.44704,0.66679,0.92207,0,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
88,10130.5,0.74851,1.08125,0.43899,0.84746,0,0.76565,0.73145,0.78331,0.5582,0.73914,0.70179,0.7391,0.42381,0.89892,1.44775,0.67003,0.91667,0,0.00284732,0.000949106,0.00284732,0.000949106,0.00284732,0.000949106,0.00284732,0.000949106
89,10244.9,0.74329,1.07069,0.43838,0.84363,0,0.75781,0.74537,0.78742,0.56177,0.73215,0.70987,0.73878,0.41918,0.90067,1.49636,0.64799,0.91273,0,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
90,10359.3,0.73788,1.09819,0.43649,0.84249,0,0.75411,0.74258,0.78617,0.56073,0.72918,0.70806,0.73599,0.4183,0.89488,1.48351,0.66279,0.912,0,0.00279781,0.000932603,0.00279781,0.000932603,0.00279781,0.000932603,0.00279781,0.000932603
91,10473.9,0.74881,1.08209,0.43752,0.84359,0,0.76628,0.73097,0.78464,0.56003,0.74089,0.69945,0.74093,0.42431,0.90242,1.4797,0.65425,0.91611,0,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
92,10606.1,0.73316,1.05519,0.4315,0.84165,0,0.76342,0.73442,0.78677,0.56119,0.74314,0.69827,0.74189,0.42634,0.90122,1.46168,0.67071,0.91387,0,0.0027483,0.0009161,0.0027483,0.0009161,0.0027483,0.0009161,0.0027483,0.0009161
93,10763.9,0.73328,1.06736,0.43126,0.84273,0,0.7519,0.74777,0.78568,0.5625,0.74213,0.70613,0.74393,0.4267,0.89641,1.45852,0.65627,0.91372,0,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
94,10921.6,0.73087,1.06026,0.42916,0.84246,0,0.75071,0.73558,0.77868,0.55945,0.73835,0.7072,0.7408,0.42438,0.89867,1.4827,0.66293,0.91125,0,0.00269879,0.000899597,0.00269879,0.000899597,0.00269879,0.000899597,0.00269879,0.000899597
