epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,15053.3,0.82935,1.25822,0.56,0.90596,0,0.76178,0.76461,0.80414,0.58232,0.76546,0.72908,0.77733,0.45256,0.87393,1.22579,0.5957,0.92536,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,15347.2,0.83898,1.28113,0.55849,0.90474,0,0.76761,0.75447,0.80986,0.58412,0.76041,0.72196,0.77565,0.44502,0.8623,1.25034,0.59214,0.92149,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,15641,0.82961,1.25679,0.55111,0.90201,0,0.76638,0.75142,0.8121,0.58785,0.77469,0.71458,0.7815,0.44914,0.86129,1.24696,0.59168,0.92239,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,15934.8,0.83198,1.24814,0.548,0.89838,0,0.7715,0.7647,0.81513,0.59032,0.77196,0.72739,0.7832,0.45417,0.86401,1.21759,0.58158,0.92172,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,16229,0.82917,1.23954,0.55373,0.89859,0,0.76235,0.76743,0.81391,0.58936,0.76013,0.73659,0.78747,0.45994,0.86331,1.22639,0.58369,0.92485,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,16523.4,0.82987,1.23835,0.54799,0.901,0,0.77913,0.75468,0.80966,0.5849,0.76018,0.72498,0.77075,0.43976,0.86856,1.25765,0.58942,0.92144,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,16817.3,0.83223,1.25162,0.54604,0.90159,0,0.76723,0.75199,0.81107,0.59097,0.77606,0.71556,0.7814,0.454,0.85491,1.23427,0.58625,0.9164,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,17111.1,0.83428,1.23528,0.55071,0.89998,0,0.77242,0.75822,0.8159,0.58948,0.77406,0.71984,0.78666,0.45473,0.86497,1.2302,0.58969,0.92168,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,17404.8,0.82582,1.20964,0.54584,0.90037,0,0.77567,0.75376,0.81528,0.59266,0.77154,0.72216,0.7825,0.45615,0.85701,1.22782,0.58978,0.91741,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,17698.6,0.82011,1.19787,0.53879,0.89875,0,0.76982,0.76331,0.81527,0.59073,0.76313,0.73221,0.78579,0.4571,0.86182,1.21768,0.58514,0.91966,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,17992.4,0.83766,1.21561,0.54838,0.89816,0,0.77585,0.75358,0.81991,0.59555,0.76635,0.72447,0.7832,0.45631,0.85575,1.2257,0.57896,0.91677,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,18286.7,0.82502,1.22623,0.54182,0.89973,0,0.76931,0.75412,0.80669,0.58519,0.76227,0.73228,0.77888,0.45375,0.86074,1.2267,0.5937,0.92621,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,18580.5,0.8111,1.19726,0.53399,0.89443,0,0.76205,0.75904,0.80979,0.58733,0.77079,0.72306,0.77786,0.46053,0.86182,1.21446,0.58909,0.91672,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,18874.3,0.81646,1.21767,0.53692,0.89201,0,0.76324,0.75694,0.80562,0.58618,0.76819,0.71461,0.77194,0.44982,0.8664,1.22913,0.59373,0.92167,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,19168,0.8133,1.20658,0.52629,0.89838,0,0.76873,0.74968,0.804,0.58122,0.75706,0.72199,0.77093,0.45003,0.86695,1.22531,0.59866,0.92387,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,19462,0.81797,1.21078,0.52916,0.89147,0,0.75306,0.75813,0.80521,0.58258,0.77277,0.71487,0.77966,0.45617,0.8756,1.24449,0.58989,0.92434,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,19755.6,0.81372,1.17737,0.52755,0.89624,0,0.76889,0.76308,0.81589,0.59219,0.769,0.72685,0.78536,0.45707,0.85361,1.20548,0.58967,0.9156,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,20049.4,0.81715,1.2029,0.52606,0.8883,0,0.77461,0.75038,0.81526,0.59135,0.76084,0.72432,0.78011,0.45561,0.86562,1.21084,0.58576,0.92108,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,20343.2,0.7963,1.17763,0.51951,0.8902,0,0.78654,0.74439,0.81472,0.58545,0.79629,0.71113,0.78323,0.45532,0.86742,1.21172,0.57647,0.92399,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,20637,0.80769,1.20345,0.52309,0.89148,0,0.78047,0.74765,0.81342,0.58889,0.77539,0.72066,0.78464,0.45533,0.86659,1.225,0.58885,0.92459,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,20930.8,0.79805,1.1911,0.5131,0.8887,0,0.76391,0.77485,0.82197,0.59596,0.76716,0.72771,0.78605,0.4639,0.8606,1.20672,0.58056,0.92404,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,21225,0.79972,1.16373,0.5128,0.89483,0,0.77769,0.7606,0.81549,0.58889,0.77372,0.72553,0.78022,0.45721,0.85733,1.21651,0.58049,0.9208,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
